All combined effects
List of cost point by point, but without normalization per variable
time	variable	simulation	data	stddev	localCost
0	26	5.18305	4.618	2.263	0.319285
0	27	78.8897	80.94	3.48	4.20392
0	28	3.9187	3.452	0.517	0.217809
0	29	12.0086	10.46	1.347	2.39814
0	30	95.3894	95.24	1.11	0.0223164
0	32	1.95795	2.21	0.309	0.0635301
0	31	0.543997	0.31	0.056	0.0547547
0	33	2.10867	2.222	0.962	0.0128442
0	1	3.9891	4.0073	2.896	0.000331248
0	4	60.7169	67.1689	17.6623	41.6288
0	5	2.787	2.5529	0.7301	0.0548028
0	9	8.387	7.8896	2.3348	0.247407
0	11	0.142	0.1559	0.06386	0.00019321
0	10	0.04793	0.02524	0.00978	0.000514836
0	12	0.121	0.13295	0.06346	0.000142803
2	26	5.17631	5.354	1.039	0.0315753
2	27	78.9131	75.18	3.681	13.9357
2	28	3.91459	4.642	0.791	0.52912
2	29	11.996	14.42	1.866	5.87559
2	30	95.3899	95.6	0.43	0.0441628
2	32	1.95772	1.854	0.128	0.0107575
2	31	0.544256	0.472	0.115	0.00522091
2	33	2.10817	2.076	0.438	0.00103523
2	1	3.9891	3.9667	1.642	0.00050175
2	4	60.814	61.161	33.3937	0.120378
2	5	2.78777	3.2025	1.2952	0.172004
2	9	8.38931	9.9433	4.3445	2.4149
2	11	0.142025	0.1613	0.0769	0.000371517
2	10	0.0479668	0.04695	0.01878	1.03394e-06
2	12	0.121004	0.13529	0.06254	0.000204076
4	26	5.17431	6.1	1.134	0.856903
4	27	78.9119	74.22	4.888	22.0143
4	28	3.91535	4.574	0.978	0.433824
4	29	11.9984	14.68	2.954	7.19096
4	30	95.391	96.04	0.439	0.421144
4	32	1.95727	1.664	0.146	0.0860048
4	31	0.544429	0.584	0.187	0.0015659
4	33	2.10726	1.698	0.216	0.167495
4	1	3.9891	3.6926	1.5417	0.0879121
4	4	60.8366	48.2163	26.1104	159.273
4	5	2.78951	2.4988	0.8046	0.0845128
4	9	8.39456	7.8702	2.5864	0.27495
4	11	0.142089	0.1122	0.03636	0.000893342
4	10	0.0480121	0.05063	0.03016	6.85326e-06
4	12	0.121034	0.08967	0.03554	0.000983675
5	26	5.17411	4.105	0.692	1.14301
5	27	78.9091	82.05	1.466	9.86542
5	28	3.91609	3.603	0.405	0.0980283
5	29	12.0007	9.95	0.592	4.20544
5	30	95.3915	94.65	0.827	0.549815
5	32	1.95712	2.025	0.151	0.0046073
5	31	0.544391	0.9225	0.749	0.142967
5	33	2.10699	2.408	0.286	0.090606
5	1	3.9891	3.451	0.7979	0.289551
5	4	60.8367	70.2197	17.1825	88.0403
5	5	2.7902	2.9201	0.8465	0.0168737
5	9	8.39663	7.7078	2.1238	0.474492
5	11	0.142117	0.1375	0.04246	2.13202e-05
5	10	0.0480202	0.07412	0.06869	0.000681198
5	12	0.121054	0.12771	0.03997	4.4308e-05
6	26	5.17407	7.542	2.129	5.6071
6	27	78.9065	77.38	4.303	2.33014
6	28	3.91674	3.6	0.748	0.100323
6	29	12.0027	11.05	1.574	0.907662
6	30	95.3918	95.4	0.608	6.73283e-05
6	32	1.95704	1.854	0.233	0.0106172
6	31	0.544322	0.504	0.235	0.00162584
6	33	2.10684	2.272	0.479	0.0272765
6	1	3.9891	5.7439	3.5362	3.07932
6	4	60.8353	42.5114	19.8521	335.764
6	5	2.79072	2.1279	0.8129	0.439336
6	9	8.39821	5.9307	2.1612	6.08859
6	11	0.142141	0.1067	0.04016	0.00125609
6	10	0.0480227	0.03083	0.0294	0.000295588
6	12	0.121074	0.10889	0.05252	0.000148451
7	26	5.17417	4.908	0.852	0.0708459
7	27	78.9041	77.3	5.876	2.5731
7	28	3.9173	4.218	1.241	0.090423
7	29	12.0044	13.18	4.606	1.38193
7	30	95.392	95.2	0.657	0.036845
7	32	1.95701	1.862	0.207	0.00902694
7	31	0.544254	0.6767	0.129	0.0175419
7	33	2.10678	2.255	0.529	0.0219677
7	1	3.9891	4.0543	2.8352	0.00425107
7	4	60.8322	47.1519	18.3715	187.152
7	5	2.7911	2.2744	0.5644	0.266974
7	9	8.39932	6.6135	1.5225	3.18917
7	11	0.142161	0.113	0.03876	0.000850381
7	10	0.0480227	0.04104	0.02151	4.87586e-05
7	12	0.121093	0.11981	0.04894	1.64594e-06
8	26	5.30665	7.38	1.679	4.29879
8	27	78.4605	67.67	7.702	116.436
8	28	3.99381	6.115	1.823	4.49946
8	29	12.239	18.33	5.328	37.1003
8	30	95.3745	94.53	1.148	0.713191
8	32	1.96765	2.008	0.374	0.00162809
8	31	0.545258	0.565	0.062	0.000389728
8	33	2.11258	2.883	0.953	0.593539
8	1	3.9891	3.0553	1.7083	0.871982
8	4	58.9802	30.0704	18.1643	835.774
8	5	2.77321	2.0866	0.6646	0.471438
8	9	8.34551	5.9921	1.9622	5.53854
8	11	0.142069	0.0998	0.0329	0.00178668
8	10	0.0478172	0.03689	0.01516	0.000119405
8	12	0.120474	0.09737	0.01817	0.000533772
9	26	14.1873	7.801	1.384	40.7849
9	27	54.384	39.2	24.189	230.554
9	28	7.7334	12.643	6.439	24.1042
9	29	23.6953	39.53	18.394	250.739
9	30	94.313	93.34	2.484	0.94672
9	32	2.60986	2.861	0.78	0.0630723
9	31	0.571597	0.6986	0.325	0.0161297
9	33	2.50555	3.079	1.61	0.328846
9	1	3.9891	1.4729	1.2518	6.33126
9	4	15.2914	10.8973	13.3579	19.3078
9	5	1.94543	1.4278	0.6079	0.26794
9	9	5.85439	4.5922	2.2997	1.59313
9	11	0.134922	0.1111	0.04593	0.000567466
9	10	0.0357346	0.03219	0.01814	1.25643e-05
9	12	0.093042	0.08255	0.0481	0.000110082
10	26	24.4816	20.717	14.248	14.1722
10	27	53.9653	27.7	28.002	689.866
10	28	5.32265	16.977	8.41	135.824
10	29	16.2304	34.12	14.64	320.036
10	30	88.8577	90.97	2.944	4.46175
10	32	5.8803	3.342	0.897	6.44295
10	31	0.663588	0.4311	0.264	0.0540507
10	33	4.5984	5.277	2.213	0.460499
10	1	3.9891	1.5948	1.3844	5.73267
10	4	8.79326	2.4277	2.9275	40.5203
10	5	0.638288	0.4041	0.327	0.0548438
10	9	1.92076	1.8276	1.4442	0.00867924
10	11	0.116552	0.0505	0.04231	0.00436292
10	10	0.0152015	0.00653	0.00767	7.51946e-05
10	12	0.0477209	0.04757	0.02972	2.27634e-08
11	26	13.0065	8.535	4.847	19.9943
11	27	77.4672	65.65	13.949	139.646
11	28	2.35926	6.77	3.114	19.4547
11	29	7.16705	18.75	8.326	134.165
11	30	87.2343	93.97	1.226	45.369
11	32	6.4348	2.665	0.429	14.2114
11	31	0.594543	0.41	0.154	0.0340562
11	33	5.73631	2.955	0.74	7.73571
11	1	3.9891	2.5771	1.4973	1.99374
11	4	23.7592	23.1071	14.7132	0.425285
11	5	0.494585	1.5699	0.3804	1.1563
11	9	1.48833	4.3721	1.2212	8.31612
11	11	0.102486	0.0999	0.02441	6.68578e-06
11	10	0.0107209	0.0198	0.00842	8.24304e-05
11	12	0.0522021	0.08821	0.01655	0.00129657
12	26	7.59507	7.138	2.627	0.208916
12	27	85.2785	77.82	8.356	55.6285
12	28	1.76162	4.148	1.851	5.69481
12	29	5.36485	10.54	3.931	26.7821
12	30	89.5912	94.18	2.905	21.0569
12	32	4.84684	2.492	0.902	5.54527
12	31	0.781754	0.362	0.064	0.176193
12	33	4.78018	2.976	2.072	3.25508
12	1	3.9891	1.8753	0.8894	4.46815
12	4	44.7901	25.0087	15.0903	391.305
12	5	0.696242	0.9781	0.4586	0.079444
12	9	2.09525	2.4768	1.2808	0.145582
12	11	0.0976113	0.0501	0.02006	0.00225733
12	10	0.0196798	0.0093	0.00468	0.00010774
12	12	0.0608031	0.03951	0.01572	0.000453396
13	26	6.14672	4.942	1.558	1.45134
13	27	85.8632	84.46	1.993	1.96896
13	28	1.97178	2.302	0.58	0.109044
13	29	6.0183	7.78	1.05	3.10357
13	30	91.9427	94.54	1.176	6.74607
13	32	3.55795	2.194	0.348	1.86037
13	31	0.881019	0.43	0.149	0.203418
13	33	3.61835	2.83	0.983	0.621494
13	1	3.9891	3.0529	0.8346	0.87647
13	4	55.7235	59.0017	27.8253	10.7463
13	5	1.05065	1.3444	0.5825	0.08629
13	9	3.16186	4.784	2.7833	2.63133
13	11	0.100005	0.0789	0.03753	0.000445427
13	10	0.0320625	0.02482	0.02186	5.24537e-05
13	12	0.0674341	0.06719	0.03281	5.95832e-08
21	26	4.78009	3.745	1.444	1.0714
21	27	80.6427	84.23	3.205	12.8689
21	28	3.58962	2.187	0.831	1.96735
21	29	10.9876	9.47	1.317	2.30316
21	30	95.4811	96.35	0.799	0.754935
21	32	1.92665	1.88	0.366	0.00217608
21	31	0.601685	0.2867	0.091	0.0992154
21	33	1.99054	1.492	0.39	0.248539
21	1	3.9891	2.1004	1.4034	3.56719
21	4	67.2983	52.5455	36.3157	217.645
21	5	2.76663	0.8651	0.4438	3.61582
21	9	8.32588	4.7762	2.8086	12.6003
21	11	0.137703	0.0612	0.03528	0.00585268
21	10	0.0528231	0.0121	0.005	0.00165837
21	12	0.108631	0.03539	0.01872	0.00536425
List of cost, per variable, including normalizations 
Cost function used: RSS (No Norm)
variable	Norm cost
26	90.0105
27	1301.89
28	193.123
29	796.188
30	81.1229
32	28.3114
31	0.807128
33	13.5649
1	27.3033
4	2327.7
5	6.76658
9	43.5232
11	0.0188651
10	0.00365643
12	0.00928311


Cost per condition : 
ExpNr	Cost	Name
0	4910.35	All combined effects


Cost per Variable : 
VarLocalNr	VarGlobID
Cost	Name
0		0	flu
1	tDN	27.3033	DNtot
2		0	eDPtot
3		0	lDP
4	tDP	2327.7	DPtot
5	tSP8P	6.76658	tSP8P
6		0	tSP8CD69-
7		0	tSP4P
8		0	tSP4CD69-
9	tTconvP	43.5232	tTconvP
10	tTregP1P	0.00365643	tTRegP25P
11	tTregP2P	0.0188651	tTRegPFp3P
12	tTregP	0.00928311	tTregP
13		0	tSP8RagN
14		0	tSP4RagN
15		0	tTconvRagN
16		0	tTregP1RagN
17		0	tTregP2RagN
18		0	tTregRagN
19		0	tSP8tot
20		0	tSP4tot
21		0	tTconvtot
22		0	tTregP1tot
23		0	tTregP2tot
24		0	tTregtot
25		0	ttotal
26	pctDN	90.0105	pctDN
27	pctDP	1301.89	pctDP
28	pctSP8	193.123	pctSP8
29	pctSP4	796.188	pctSP4
30	pctTconvtot	81.1229	pctTconvtot
31	pctTregP1tot	0.807128	pctTRegP1tot
32	pctTregP2tot	28.3114	pctTRegP2tot
33	pctTregtot	13.5649	pctTregtot
34		0	pctTconvP
35		0	pctTRegP1P
36		0	pctTRegP2P
37		0	pctTregP
38		0	pctSP8RagN
39		0	pctSP4RagN
40		0	pctTconvRagN
41		0	pctTRegP1RagN
42		0	pctTRegP2RagN
43		0	pctTregRagN
44		0	SP4totTV
45		0	SP8totTV
46		0	divSP4g0
47		0	divSP4g1
48		0	divSP4g2
49		0	divSP8g0
50		0	divSP8g1
51		0	divSP8g2
52		0	SP4stage69hi
53		0	SP4stage69lo
54		0	SP8stage69hi
