13	44
time	pctDN	pctDP	pctSP8	pctSP4	pctTconv	pctTRegP1	pctTRegP2	pctTreg	pctSP8Rag-	pctSP4Rag-	pctTconvRag-	pctTRegP1Rag-	pctTRegP2Rag-	pctTregRag-	pcsTconv	pcsTreg	pcsCD8	pcsBcells	pcsTconvRag-	pcsTregRag-	pcsCD8Rag-	ttotal	tDN	tDP	tSP8	tSP4	tTconv	tTRegP1	tTRegP2	tTreg	tSP8Rag-	tSP4Rag-	tTconvRag-	tTRegP1Rag-	tTRegP2Rag-	tTregRag-	stotal	sTconv	sTreg	sCD8	sBcells	sTconvRag-	sTregRag-	sCD8Rag-
0	4.618	80.94	3.452	10.458	95.4	0.31	2.21	2.222	10.376	5.64	4.674	7.862	20.4	29.78	21.35985095	3.01377945	13.6113625	50.35555556	44.36666667	75.67777778	57.72222222	83.0652	4.007263886	67.16893181	2.870602137	8.711056644	8.295669941	0.027498878	0.198950981	0.200694507	0.317653537	0.507314154	0.394827285	0.002260771	0.043075371	0.067745069	53.775625	11.48639335	1.620678735	7.319595254	27.11159724	4.836253766	1.216663507	4.048981818
2	5.354	75.18	4.642	14.42	96.14	0.472	1.854	2.076	6.85	5.55	4.546	3.594	20.54	38.94	21.74020724	2.803708415	15.75567836	50.2	35.48	69.04	52.64	79.7512	3.96673668	61.16102452	3.440559559	10.9125328	10.48971369	0.048673969	0.205043475	0.227431092	0.238046825	0.625414913	0.490198418	0.001721208	0.043706969	0.092140914	46.8204	10.17885199	1.312707495	7.376871633	24.03012456	3.664960611	0.910162742	3.906892416
4	6.1	74.22	4.574	14.68	96.64	0.584	1.664	1.698	7.122	6.312	5.448	7.272	21.94	39.6	19.29806615	2.829818328	13.30979673	55.18	36.68	68.92	50.02	63.471	3.692626808	48.21627331	2.685479193	8.661144952	8.369297711	0.053543602	0.144134448	0.148652706	0.186660154	0.538208878	0.447333733	0.002913927	0.031887961	0.05897934	43.6182	8.417469088	1.234315818	5.805493756	24.11474478	3.087717029	0.853987598	2.911343572
5	4.105	82.05	3.6025	9.9525	95.75	0.9225	2.025	2.4075	5.375	5.9375	4.8075	6.145	20.925	37.85	18.25337361	2.404130067	14.13495511	55.425	35.75	74.125	51.375	82.21028571	6.280171482	62.61663312	3.902923839	9.160719094	8.576105152	0.057514921	0.243146682	0.342767152	0.975224269	1.166953644	0.895374361	0.006171081	0.086331163	0.183655746	44.19075	8.066302697	1.062403107	6.246342675	23.79496562	3.015686195	0.780654542	3.335582077
6	7.542	77.38	3.6	11.054	95.98	0.504	1.854	2.272	9.754	10.542	9.382	7.512	23.54	48.52	16.64611353	2.510481442	14.20543202	55.6375	41.95	74.9	55.95	58.476375	5.743910754	42.51141369	2.765284604	7.238674432	6.846014615	0.036320355	0.166592023	0.226564421	0.637379074	1.061437201	0.883592663	0.005490156	0.059864948	0.11767532	37.921125	6.312393519	0.952002806	5.386859633	21.02229689	2.704280088	0.717664753	3.08068148
7	4.908333333	77.3	4.218333333	13.18166667	95.96666667	0.676666667	1.861666667	2.255	5.035	5.795	4.953333333	3.705	16.64333333	34.88333333	16.99160692	2.822967552	12.17983203	59.61666667	43.8	73.06666667	48.95	62.15166667	4.054282589	47.15186759	2.766753638	7.676036242	7.274245742	0.045359459	0.16476424	0.238346118	0.492391653	0.788501583	0.617645499	0.004318318	0.051756998	0.118536958	74.538	12.66520396	2.104183554	9.078603202	44.51113073	5.512644834	1.529295188	4.442888154
8	7.38	67.66666667	6.115	18.33333333	95.15	0.565	2.008333333	2.883333333	7.626666667	8.525	7.01	6.406666667	25.4	45.9	19.08581642	2.932963163	14.05101074	52.81666667	50.61666667	80.83333333	59.31666667	42.387	3.055335932	30.07043094	2.260534559	6.807965477	6.496585454	0.039464881	0.132446656	0.181254155	0.173977746	0.581593391	0.46501356	0.00257262	0.032603862	0.083879421	55.0075	10.49863047	1.613349712	7.729109733	29.49785955	5.373772761	1.310941535	4.607045786
9	7.801428571	39.2	12.64285714	39.52857143	94.27142857	0.698571429	2.861428571	3.078571429	10.35857143	7.36	5.697142857	7.164285714	20.6	42.94285714	18.3282172	2.825509321	13.18299134	52.41111111	54.33333333	81.31111111	66.08888889	19.32042857	1.472915038	10.89726726	1.583801433	5.206146879	4.933360686	0.034241525	0.138849973	0.144509277	0.155974559	0.387828193	0.298930277	0.002054127	0.027762491	0.061960999	65.33633333	11.97498509	1.846084188	8.613283166	34.7289888	6.518782059	1.513655714	5.685625188
10	20.71666667	27.69777778	16.97666667	34.12222222	91.37777778	0.431111111	3.342222222	5.276666667	60.74444444	25.92444444	23.61666667	45.92222222	41.82222222	59.14444444	18.63824743	3.137248269	13.35867857	54.17777778	53.85555556	79.92222222	66.06666667	7.901	1.594780255	2.427652546	1.257623928	2.584708381	2.363865265	0.013742058	0.089488223	0.129684187	0.853481594	0.652427872	0.537762458	0.007207726	0.038954144	0.082112609	56.42866667	10.51731452	1.770307368	7.538124203	30.6598738	5.693781262	1.438660365	4.99957179
11	8.535	65.65	6.77	18.75	94.43333333	0.41	2.665	2.955	12.49166667	10.96166667	9.743333333	7.843333333	23.86333333	36.63333333	20.22858256	2.91777467	14.35439887	51.62857143	50.77142857	79.14285714	63.54285714	32.765	2.577056649	23.10714692	1.845894466	5.136587986	4.856938479	0.02183013	0.135140523	0.147383506	0.275985385	0.556545332	0.462615489	0.002034741	0.035236879	0.059173289	64.11214286	12.96897775	1.870647864	9.202912711	33.18269011	6.576401213	1.476346683	5.816402225
