13	26
time	pctDN	pctDP	pctSP8	pctSP4	pctTconv	pctTRegP1	pctTRegP2	pctTreg	pcsTconv	pcsTreg	pcsCD8	pcsBcells	ttotal	tDN	tDP	tSP8	tSP4	tTconv	tTRegP1	tTRegP2	tTreg	stotal	sTconv	sTreg	sCD8	sBcells
0	4.618	80.94	3.452	10.458	95.4	0.31	2.21	2.222	21.35985095	3.01377945	13.6113625	50.35555556	83.0652	4.007263886	67.16893181	2.870602137	8.711056644	8.295669941	0.027498878	0.198950981	0.200694507	53.775625	11.48639335	1.620678735	7.319595254	27.11159724
2	5.354	75.18	4.642	14.42	96.14	0.472	1.854	2.076	21.74020724	2.803708415	15.75567836	50.2	79.7512	3.96673668	61.16102452	3.440559559	10.9125328	10.48971369	0.048673969	0.205043475	0.227431092	46.8204	10.17885199	1.312707495	7.376871633	24.03012456
4	6.1	74.22	4.574	14.68	96.64	0.584	1.664	1.698	19.29806615	2.829818328	13.30979673	55.18	63.471	3.692626808	48.21627331	2.685479193	8.661144952	8.369297711	0.053543602	0.144134448	0.148652706	43.6182	8.417469088	1.234315818	5.805493756	24.11474478
5	4.105	82.05	3.6025	9.9525	95.75	0.9225	2.025	2.4075	18.25337361	2.404130067	14.13495511	55.425	82.21028571	6.280171482	62.61663312	3.902923839	9.160719094	8.576105152	0.057514921	0.243146682	0.342767152	44.19075	8.066302697	1.062403107	6.246342675	23.79496562
6	7.542	77.38	3.6	11.054	95.98	0.504	1.854	2.272	16.64611353	2.510481442	14.20543202	55.6375	58.476375	5.743910754	42.51141369	2.765284604	7.238674432	6.846014615	0.036320355	0.166592023	0.226564421	37.921125	6.312393519	0.952002806	5.386859633	21.02229689
7	4.908333333	77.3	4.218333333	13.18166667	95.96666667	0.676666667	1.861666667	2.255	16.99160692	2.822967552	12.17983203	59.61666667	62.15166667	4.054282589	47.15186759	2.766753638	7.676036242	7.274245742	0.045359459	0.16476424	0.238346118	74.538	12.66520396	2.104183554	9.078603202	44.51113073
8	7.38	67.66666667	6.115	18.33333333	95.15	0.565	2.008333333	2.883333333	19.08581642	2.932963163	14.05101074	52.81666667	42.387	3.055335932	30.07043094	2.260534559	6.807965477	6.496585454	0.039464881	0.132446656	0.181254155	55.0075	10.49863047	1.613349712	7.729109733	29.49785955
9	7.801428571	39.2	12.64285714	39.52857143	94.27142857	0.698571429	2.861428571	3.078571429	18.3282172	2.825509321	13.18299134	52.41111111	19.32042857	1.472915038	10.89726726	1.583801433	5.206146879	4.933360686	0.034241525	0.138849973	0.144509277	65.33633333	11.97498509	1.846084188	8.613283166	34.7289888
10	20.71666667	27.69777778	16.97666667	34.12222222	91.37777778	0.431111111	3.342222222	5.276666667	18.63824743	3.137248269	13.35867857	54.17777778	7.901	1.594780255	2.427652546	1.257623928	2.584708381	2.363865265	0.013742058	0.089488223	0.129684187	56.42866667	10.51731452	1.770307368	7.538124203	30.6598738
11	8.535	65.65	6.77	18.75	94.43333333	0.41	2.665	2.955	20.22858256	2.91777467	14.35439887	51.62857143	32.765	2.577056649	23.10714692	1.845894466	5.136587986	4.856938479	0.02183013	0.135140523	0.147383506	64.11214286	12.96897775	1.870647864	9.202912711	33.18269011
12	7.138	77.82	4.148	10.536	94.66	0.362	2.492	2.976	19.86275302	2.689309754	14.16933171	53.26	30.828	1.875270029	25.00866051	1.051689866	2.782520329	2.661075732	0.010337316	0.060838723	0.063272034	50.4126	10.01333023	1.355750969	7.143128516	26.98000228
13	4.942	84.46	2.302	7.78	95.2	0.43	2.194	2.83	19.4536113	3.217229132	14.26349303	53.2	69.4422	3.052944466	59.00165113	1.501759506	5.468221664	5.22950246	0.026690582	0.113023879	0.13715777	54.5832	10.61840357	1.756066612	7.78547093	28.88271411
21	3.745	84.23333333	2.186666667	9.471666667	96.51666667	0.286666667	1.88	1.491666667	18.96993423	3.11413983	15.75098258	53.94	61.371	2.10035322	52.54548824	1.13586975	5.404593803	5.216388693	0.013358616	0.10307747	0.079462425	34.698	6.582187778	1.080544238	5.465275935	18.35426036
