13	44
time	pctDN	pctDP	pctSP8	pctSP4	pctTconv	pctTRegP1	pctTRegP2	pctTreg	pcsTconv	pcsTreg	pcsCD8	pcsBcells	ttotal	tDN	tDP	tSP8	tSP4	tTconv	tTRegP1	tTRegP2	tTreg	stotal	sTconv	sTreg	sCD8	sBcells
0	2.262668778	3.480373543	0.516981624	1.347004083	1.079351657	0.056124861	0.309273342	0.962377265	5.098091816	1.16134229	3.18972798	8.588234846	22.95655726	2.89597868	17.66230158	0.89774539	2.661534049	2.478851118	0.010721509	0.084696227	0.129022157	14.22701792	2.741530737	0.624519075	1.715296157	10.0678603
2	1.03914869	3.680624947	0.790613686	1.86601179	0.378153408	0.114978259	0.127593103	0.437812745	8.936897466	1.354780588	6.14738809	7.199652769	41.23106925	1.642016921	33.39373432	1.39264544	4.782948812	4.593453719	0.019440589	0.098501301	0.112680227	19.15969963	4.184291141	0.63431369	2.878231693	11.32916652
4	1.133953262	4.887944353	0.978074639	2.954149624	0.250998008	0.187296556	0.145705182	0.216494804	5.747400648	1.058244623	5.100736006	5.314790683	31.26341706	1.541667281	26.11040096	0.847143178	2.822604468	2.725489562	0.030393935	0.047707401	0.056180259	12.0717114	2.506912709	0.461587256	2.224849233	7.240677742
5	0.692459385	1.46628783	0.405493526	0.592135964	0.36968455	0.748659914	0.150886271	0.285584197	10.30060485	0.951979815	7.084024195	6.883978985	18.79313373	4.443014325	17.06123611	1.372326971	2.167865055	1.944084235	0.054436454	0.112888304	0.197934368	16.41824845	4.55191454	0.42068702	3.130483422	7.339289029
6	2.129300355	4.30313839	0.748498497	1.573874201	0.641872261	0.234584739	0.232658548	0.479134637	6.642031979	0.718986782	5.506995527	5.956254216	23.97643015	3.536230825	19.85211372	1.318771244	2.822800201	2.699960654	0.032941301	0.084996798	0.141700156	12.84158731	2.518733249	0.272647876	2.088314658	6.686840626
7	0.852371202	5.876393452	1.241022428	4.60560709	0.7393691	0.128944432	0.206534904	0.529443104	2.893611968	0.694531498	1.558683284	3.599675911	19.73784539	2.835249749	18.37147245	1.235634215	1.871382494	1.723341879	0.020151245	0.075367312	0.162526072	11.15005638	2.156840489	0.517689888	1.161811346	8.065087953
8	1.678749535	7.701861247	1.822764384	5.327913913	1.130928822	0.062209324	0.374348323	0.95326107	5.369172917	1.099513704	3.507228954	4.223939709	22.53669048	1.708255491	18.16428896	0.726086559	2.194395246	2.147910935	0.016352207	0.035657229	0.032312687	18.77768971	2.953447792	0.604815001	1.929238967	11.47768025
9	1.384478585	24.18925381	6.438671484	18.39372305	2.304137066	0.324521626	0.779688583	1.609797384	5.340284616	1.345557056	4.566121213	5.168279318	17.43573963	1.251795331	13.35786546	0.661647066	2.577695363	2.512497174	0.018370077	0.051712944	0.080523287	22.48588636	3.489146158	0.879137644	2.983336176	13.84487557
10	14.24751031	28.00210563	8.410017836	14.63965315	2.759428282	0.263507326	0.896531898	2.213447537	3.114921489	1.081110676	2.987202882	2.848586394	4.39464316	1.384378838	2.927460935	0.823510454	1.659208912	1.544267307	0.015612112	0.062554036	0.085374819	13.52689954	1.757708664	0.61005634	1.685638757	8.080186571
11	4.847224979	13.94930106	3.113730881	8.326043478	1.116542282	0.153883072	0.428800653	0.73956068	2.959061979	0.594699077	1.470796216	2.156937865	16.46583638	1.497296741	14.71321421	0.488756141	1.191378637	1.165088231	0.009473486	0.028272835	0.032341487	8.56358337	1.897118043	0.381274322	0.942958971	5.252611897
12	2.627274253	8.355656767	1.850856558	3.930665338	2.862341699	0.063796552	0.901509845	2.072035231	2.824777902	1.024197899	2.315323824	1.867618805	17.83653337	0.889367639	15.09028359	0.479080519	1.378892317	1.355700523	0.005118904	0.020994086	0.014466544	11.99957163	1.424043984	0.51632479	1.167214938	7.310592335
13	1.557729116	1.993238571	0.57988792	1.049809507	1.260952021	0.149164339	0.347821793	0.983056458	8.34285034	1.464836782	6.754201252	1.756416807	32.16738285	0.83461144	27.82532179	0.636797702	3.04198223	2.952637799	0.022486758	0.049425423	0.051918066	23.19826595	4.553794687	0.79955479	3.686659178	11.9351378
21	1.444406452	3.20541209	0.830846957	1.317033282	0.735980072	0.091360093	0.365841496	0.390252055	7.478847326	0.645133549	6.442620828	7.026592346	41.42089412	1.403399434	36.31566045	0.729501341	3.224241848	3.10596619	0.006218216	0.069882499	0.053480229	6.564058958	2.595010445	0.223848439	2.235460575	1.556988729
