13	44
time	pctDN	pctDP	pctSP8	pctSP4	pctTconv	pctTRegP1	pctTRegP2	pctTreg	pctSP8Rag-	pctSP4Rag-	pctTconvRag-	pctTRegP1Rag-	pctTRegP2Rag-	pctTregRag-	pcsTconv	pcsTreg	pcsCD8	pcsBcells	pcsTconvRag-	pcsTregRag-	pcsCD8Rag-	ttotal	tDN	tDP	tSP8	tSP4	tTconv	tTRegP1	tTRegP2	tTreg	tSP8Rag-	tSP4Rag-	tTconvRag-	tTRegP1Rag-	tTRegP2Rag-	tTregRag-	stotal	sTconv	sTreg	sCD8	sBcells	sTconvRag-	sTregRag-	sCD8Rag-
0	2.262668778	3.480373543	0.516981624	1.347004083	1.079351657	0.056124861	0.309273342	0.962377265	4.872384427	1.554107461	0.946535789	3.089501578	9.602864156	9.856825047	5.098091816	1.16134229	3.18972798	8.588234846	9.248378236	6.826195459	9.463981427	22956557.26	2895978.68	17662301.58	897745.39	2661534.049	2478851.118	10721.50855	84696.2272	129022.1572	217113.1668	262986.9484	165687.3203	1344.013398	35863.49623	69842.17996	14227017.92	2741530.737	624519.0749	1715296.157	10067860.3	1448399.772	520304.2979	1118800.245
2	1.03914869	3.680624947	0.790613686	1.86601179	0.378153408	0.114978259	0.127593103	0.437812745	1.533900258	1.070397123	0.837931978	1.236903392	4.496998999	5.114000391	8.936897466	1.354780588	6.14738809	7.199652769	4.042523964	3.241604541	4.674719243	41231069.25	1642016.921	33393734.32	1392645.44	4782948.812	4593453.719	19440.58919	98501.30122	112680.2268	116686.6786	322170.7852	248357.3678	810.9801904	24092.67478	50446.88868	19159699.63	4184291.141	634313.6905	2878231.693	11329166.52	1655400.894	456663.0484	1634574.279
4	1.133953262	4.887944353	0.978074639	2.954149624	0.250998008	0.187296556	0.145705182	0.216494804	1.21582071	0.689434551	0.782860141	5.050056435	2.892749557	4.234973436	5.747400648	1.058244623	5.100736006	5.314790683	5.314320276	5.117812032	4.759936974	31263417.06	1541667.281	26110400.96	847143.178	2822604.468	2725489.562	30393.93525	47707.40119	56180.25945	48004.11182	147464.324	120847.9161	607.9954094	12773.23141	22218.89697	12071711.4	2506912.709	461587.256	2224849.233	7240677.742	1075375.722	333685.5564	1178080.219
5	0.692459385	1.46628783	0.405493526	0.592135964	0.36968455	0.748659914	0.150886271	0.285584197	1.388632421	0.733638194	0.530557882	5.918228902	4.789137013	6.555659133	10.30060485	0.951979815	7.084024195	6.883978985	5.688878038	3.58178261	6.768246942	18793133.73	4443014.325	17061236.11	1372326.971	2167865.055	1944084.235	54436.45372	112888.3035	197934.3678	1079002.485	926629.9699	709187.2711	5159.913439	70467.92402	145797.6093	16418248.45	4551914.54	420687.0201	3130483.422	7339289.029	1765749.81	292613.7026	1873346.616
6	2.129300355	4.30313839	0.748498497	1.573874201	0.641872261	0.234584739	0.232658548	0.479134637	4.188839935	4.065970979	4.450608947	5.139111791	2.807668072	4.623526792	6.642031979	0.718986782	5.506995527	5.956254216	6.76609193	4.795831523	5.431390246	23976430.15	3536230.825	19852113.72	1318771.244	2822800.201	2699960.654	32941.30084	84996.79751	141700.1561	779609.4053	822590.6004	698592.7411	5847.202269	59733.23997	93884.16244	12841587.31	2518733.249	272647.8763	2088314.658	6686840.626	1348483.011	219349.922	1439491.334
7	0.852371202	5.876393452	1.241022428	4.60560709	0.7393691	0.128944432	0.206534904	0.529443104	2.741019883	2.183380407	1.971736967	2.061977206	8.885542565	15.01125134	2.893611968	0.694531498	1.558683284	3.599675911	6.714462004	5.36718424	8.383495691	19737845.39	2835249.749	18371472.45	1235634.215	1871382.494	1723341.879	20151.24549	75367.31196	162526.0717	987052.9588	941543.1262	730628.3766	6235.651833	70025.06035	142767.7634	11150056.38	2156840.489	517689.8878	1161811.346	8065087.953	1072417.569	367715.9203	925156.5558
8	1.678749535	7.701861247	1.822764384	5.327913913	1.130928822	0.062209324	0.374348323	0.95326107	1.181129403	1.022130129	1.190008403	1.648401246	6.95959769	7.648790754	5.369172917	1.099513704	3.507228954	4.223939709	3.584085192	2.289687024	2.49593002	22536690.48	1708255.491	18164288.96	726086.559	2194395.246	2147910.935	16352.2068	35657.22923	32312.68737	69868.92118	203441.6049	186536.4349	1378.23683	9861.242335	22749.19184	18777689.71	2953447.792	604815.0009	1929238.967	11477680.25	1770520.982	501295.2876	1245285.103
9	1.384478585	24.18925381	6.438671484	18.39372305	2.304137066	0.324521626	0.779688583	1.609797384	2.849879697	1.427795504	1.649906202	3.424027147	6.271629241	7.977856258	5.340284616	1.345557056	4.566121213	5.168279318	2.545584412	3.3568752	2.063640257	17435739.63	1251795.331	13357865.46	661647.066	2577695.363	2512497.174	18370.07704	51712.94435	80523.28744	59806.92594	222816.8143	212759.467	764.9343759	10496.85412	35568.12183	22485886.36	3489146.158	879137.6436	2983336.176	13844875.57	2005505.589	747962.7301	1961832.258
10	14.24751031	28.00210563	8.410017836	14.63965315	2.759428282	0.263507326	0.896531898	2.213447537	28.63555967	18.57113763	17.72300765	21.63589481	21.47846467	17.39311007	3.114921489	1.081110676	2.987202882	2.848586394	3.933862959	4.855352144	3.776241518	4394643.16	1384378.838	2927460.935	823510.4543	1659208.912	1544267.307	15612.11232	62554.03565	85374.81877	667160.0119	589831.229	486866.0846	8122.791217	37508.45572	69121.54317	13526899.54	1757708.664	610056.3395	1685638.757	8080186.571	1172631.991	551987.9562	1201235.401
11	4.847224979	13.94930106	3.113730881	8.326043478	1.116542282	0.153883072	0.428800653	0.73956068	17.17376885	11.17782343	10.46733904	8.648853489	19.51793193	20.14414721	2.959061979	0.594699077	1.470796216	2.156937865	4.715122581	2.788582162	4.792653108	16465836.38	1497296.741	14713214.21	488756.1414	1191378.637	1165088.231	9473.486241	28272.8351	32341.48674	427883.4065	532313.478	459345.4592	2459.804873	32783.88931	45099.99965	8563583.37	1897118.043	381274.3221	942958.9711	5252611.897	1114178.594	284446.2038	337089.4293
