13	40
time	pctDN1	pctDN2	pctDN3	pctDN4	pctDN	pctDP	pctSP8	pctSP8RagN	pctSP4	pctTconvtot	pctTconvRagN	pctTregP2tot	pctTregP2RagN	pctTregP1tot	pctTregP1RagN	pctTregtot	pctTregRagN	ttotal	tDN1	tDN2	tDN3	tDN4	tDN	tDP	tSP8tot	tSP8P	tSP8RagN	tSP4tot	tTconvtot	tTconvP	tTconvRagN	tTRegP2tot	tTregP2P	tTregP2RagN	tTRegP1tot	tTregP1P	tTregP1RagN	tTregtot	tTregP	tTregRagN
0	14.92	1.740	25.18	58.18	4.618	80.94	3.452	10.38	10.46	95.24	4.674	2.210	20.40	0.3100	7.862	2.222	29.78	82.758	0.5514	0.0681	0.9351	2.4526	4.0073	67.1689	2.8706	2.5529	0.3177	8.7111	8.2838	7.8896	0.3942	0.1990	0.1559	0.04308	0.02750	0.02524	0.00226	0.20069	0.13295	0.06775
2	16.44	3.070	36.26	44.20	5.354	75.18	4.642	6.85	14.42	95.60	4.550	1.854	20.54	0.4720	3.594	2.076	38.94	79.481	0.6096	0.1223	1.4478	1.7870	3.9667	61.1610	3.4406	3.2025	0.2380	10.9125	10.4311	9.9433	0.4878	0.2050	0.1613	0.04371	0.04867	0.04695	0.00172	0.22743	0.13529	0.09214
4	14.48	3.130	29.26	53.10	6.100	74.22	4.574	7.12	14.68	96.04	5.446	1.664	21.94	0.5840	7.272	1.698	39.60	63.256	0.5331	0.1165	1.1575	1.8855	3.6926	48.2163	2.6855	2.4988	0.1867	8.6611	8.3146	7.8702	0.4444	0.1441	0.1122	0.03189	0.05354	0.05063	0.00291	0.14865	0.08967	0.05898
5	15.30	2.248	39.35	43.13	4.105	82.05	3.603	5.38	9.95	94.65	4.810	2.025	20.93	0.9225	6.145	2.408	37.85	85.295	0.5105	0.0789	1.3564	1.5041	3.4510	70.2197	3.0799	2.9201	0.1598	8.5444	8.0884	7.7078	0.3806	0.1742	0.1375	0.03674	0.07665	0.07412	0.00253	0.20511	0.12771	0.07739
6	13.04	1.836	35.50	49.60	7.542	77.38	3.600	9.75	11.05	95.40	9.378	1.854	23.54	0.5040	7.512	2.272	48.52	58.259	0.6620	0.0762	1.4372	3.5685	5.7439	42.5114	2.7653	2.1279	0.6374	7.2387	6.8091	5.9307	0.8784	0.1666	0.1067	0.05986	0.03632	0.03083	0.00549	0.22656	0.10889	0.11768
7	17.70	1.930	33.90	46.45	4.908	77.30	4.218	5.04	13.18	95.20	4.957	1.862	16.64	0.6767	3.705	2.255	34.88	61.649	0.7451	0.0574	1.0505	2.2013	4.0543	47.1519	2.7668	2.2744	0.4924	7.6760	7.2274	6.6135	0.6139	0.1648	0.1130	0.05176	0.04536	0.04104	0.00432	0.23835	0.11981	0.11854
8	21.60	2.035	37.87	38.48	7.380	67.67	6.115	7.63	18.33	94.53	7.015	2.008	25.40	0.5650	6.407	2.883	45.90	42.194	0.6206	0.0604	1.1523	1.2221	3.0553	30.0704	2.2605	2.0866	0.1740	6.8080	6.4547	5.9921	0.4625	0.1324	0.0998	0.03260	0.03946	0.03689	0.00257	0.18125	0.09737	0.08388
9	32.76	2.687	28.31	36.21	7.801	39.20	12.643	10.36	39.53	93.34	5.680	2.861	20.60	0.6986	7.164	3.079	42.94	19.160	0.3644	0.0434	0.4537	0.6114	1.4729	10.8973	1.5838	1.4278	0.1560	5.2061	4.8883	4.5922	0.2960	0.1388	0.1111	0.02776	0.03424	0.03219	0.00205	0.14451	0.08255	0.06196
10	20.17	1.239	16.62	61.97	20.717	27.70	16.977	60.74	34.12	90.97	23.274	3.342	41.82	0.4311	45.922	5.277	59.14	7.865	0.2907	0.0127	0.1496	1.1418	1.5948	2.4277	1.2576	0.4041	0.8535	2.5847	2.3517	1.8276	0.5241	0.0895	0.0505	0.03895	0.01374	0.00653	0.00721	0.12968	0.04757	0.08211
11	18.28	2.235	37.07	42.42	8.535	65.65	6.770	12.49	18.75	93.97	9.743	2.665	23.86	0.4100	7.843	2.955	36.63	32.667	0.4479	0.0597	0.8668	1.2026	2.5771	23.1071	1.8459	1.5699	0.2760	5.1366	4.8322	4.3721	0.4601	0.1351	0.0999	0.03524	0.02183	0.01980	0.00203	0.14738	0.08821	0.05917
12	13.39	2.208	31.04	53.40	7.138	77.82	4.148	7.72	10.54	94.18	6.610	2.492	18.78	0.3620	10.082	2.976	39.16	30.718	0.2622	0.0483	0.5794	0.9855	1.8753	25.0087	1.0517	0.9781	0.0735	2.7825	2.6480	2.4768	0.1712	0.0608	0.0501	0.01072	0.01034	0.00930	0.00103	0.06327	0.03951	0.02376
13	12.10	2.226	31.68	53.98	4.942	84.46	2.302	10.71	7.78	94.54	8.490	2.194	30.72	0.4300	10.082	2.830	52.42	69.025	0.3716	0.0657	0.9890	1.6267	3.0529	59.0017	1.5018	1.3444	0.1573	5.4682	5.1913	4.7840	0.4073	0.1130	0.0789	0.03411	0.02669	0.02482	0.00187	0.13716	0.06719	0.06996
21	15.77	0.848	22.30	61.10	3.745	84.23	2.187	20.53	9.47	96.35	8.327	1.880	37.18	0.2867	8.053	1.492	51.67	61.186	0.3066	0.0158	0.4374	1.3405	2.1004	52.5455	1.1359	0.8651	0.2708	5.4046	5.2087	4.7762	0.4325	0.1031	0.0612	0.04188	0.01336	0.01210	0.00126	0.07946	0.03539	0.04407
