13	40
time	pctDN1	pctDN2	pctDN3	pctDN4	pctDN	pctDP	pctSP8	pctSP8RagN	pctSP4	pctTconvtot	pctTconvRagN	pctTregP2tot	pctTregP2RagN	pctTregP1tot	pctTregP1RagN	pctTregtot	pctTregRagN	ttotal	tDN1	tDN2	tDN3	tDN4	tDN	tDP	tSP8tot	tSP8P	tSP8RagN	tSP4tot	tTconvtot	tTconvP	tTconvRagN	tTRegP2tot	tTregP2P	tTregP2RagN	tTRegP1tot	tTregP1P	tTregP1RagN	tTregtot	tTregP	tTregRagN
0	3.429	0.511	6.540	7.244	2.263	3.480	0.517	4.872	1.347	1.110	0.941	0.309	9.603	0.056	3.090	0.962	9.857	22.957	0.3148	0.0441	0.4804	2.1189	2.8960	17.6623	0.8977	0.7301	0.2171	2.6615	2.4751	2.3348	0.1653	0.08470	0.06386	0.03586	0.01072	0.00978	0.00134	0.12902	0.06346	0.06984
2	4.083	0.826	1.498	4.007	1.039	3.681	0.791	1.534	1.866	0.430	0.847	0.128	4.497	0.115	1.237	0.438	5.114	41.231	0.1985	0.0659	0.6238	0.8283	1.6420	33.3937	1.3926	1.2952	0.1167	4.7829	4.5746	4.3445	0.2473	0.09850	0.07690	0.02409	0.01944	0.01878	0.00081	0.11268	0.06254	0.05045
4	0.576	1.152	11.567	12.295	1.134	4.888	0.978	1.216	2.954	0.439	0.779	0.146	2.893	0.187	5.050	0.216	4.235	31.263	0.2119	0.0594	0.7622	0.6602	1.5417	26.1104	0.8471	0.8046	0.0480	2.8226	2.6946	2.5864	0.1202	0.04771	0.03636	0.01277	0.03039	0.03016	0.00061	0.05618	0.03554	0.02222
5	3.595	1.125	7.230	8.120	0.692	1.466	0.405	1.389	0.592	0.827	0.537	0.151	4.789	0.749	5.918	0.286	6.556	20.919	0.0881	0.0480	0.3738	0.4855	0.7979	17.1825	0.8676	0.8465	0.0344	2.3185	2.1891	2.1238	0.0683	0.05312	0.04246	0.01555	0.06899	0.06869	0.00135	0.05905	0.03997	0.02651
6	4.747	0.989	8.385	13.898	2.129	4.303	0.748	4.189	1.574	0.608	4.463	0.233	2.808	0.235	5.139	0.479	4.624	23.976	0.4400	0.0882	1.2602	2.9600	3.5362	19.8521	1.3188	0.8129	0.7796	2.8228	2.6673	2.1612	0.6940	0.08500	0.04016	0.05973	0.03294	0.02940	0.00585	0.14170	0.05252	0.09388
7	3.660	0.818	7.944	8.153	0.852	5.876	1.241	2.741	4.606	0.657	1.972	0.207	8.886	0.129	2.062	0.529	15.011	19.738	0.5801	0.0192	0.3156	2.1995	2.8352	18.3715	1.2356	0.5644	0.9871	1.8714	1.7039	1.5225	0.7258	0.07537	0.03876	0.07003	0.02015	0.02151	0.00624	0.16253	0.04894	0.14277
8	3.356	0.232	3.022	5.232	1.679	7.702	1.823	1.181	5.328	1.148	1.199	0.374	6.960	0.062	1.648	0.953	7.649	22.537	0.2554	0.0294	0.6282	0.8319	1.7083	18.1643	0.7261	0.6646	0.0699	2.1944	2.1340	1.9622	0.1858	0.03566	0.03290	0.00986	0.01635	0.01516	0.00138	0.03231	0.01817	0.02275
9	12.313	1.200	6.165	9.683	1.384	24.189	6.439	2.850	18.394	2.484	1.659	0.780	6.272	0.325	3.424	1.610	7.978	17.436	0.2145	0.0401	0.4306	0.6195	1.2518	13.3579	0.6616	0.6079	0.0598	2.5777	2.4996	2.2997	0.2119	0.05171	0.04593	0.01050	0.01837	0.01814	0.00076	0.08052	0.04810	0.03557
10	9.157	1.019	14.428	21.871	14.248	28.002	8.410	28.636	14.640	2.944	17.842	0.897	21.478	0.264	21.636	2.213	17.393	4.395	0.2358	0.0117	0.1495	1.1880	1.3844	2.9275	0.8235	0.3270	0.6672	1.6592	1.5365	1.4442	0.4837	0.06255	0.04231	0.03751	0.01561	0.00767	0.00812	0.08537	0.02972	0.06912
11	5.452	1.789	11.779	12.046	4.847	13.949	3.114	17.174	8.326	1.226	10.467	0.429	19.518	0.154	8.649	0.740	20.144	16.466	0.2449	0.0549	0.4214	1.0399	1.4973	14.7132	0.4888	0.3804	0.4279	1.1914	1.1576	1.2212	0.4562	0.02827	0.02441	0.03278	0.00947	0.00842	0.00246	0.03234	0.01655	0.04510
12	3.202	1.469	2.255	5.443	2.627	8.356	1.851	2.359	3.931	2.905	0.989	0.902	5.630	0.064	1.860	2.072	9.716	17.837	0.1470	0.0388	0.2618	0.4673	0.8894	15.0903	0.4791	0.4586	0.0239	1.3789	1.3512	1.2808	0.0752	0.02099	0.02006	0.00264	0.00512	0.00468	0.00050	0.01447	0.01572	0.00287
13	1.306	0.494	5.413	5.894	1.558	1.993	0.580	1.525	1.050	1.176	1.484	0.348	7.841	0.149	5.869	0.983	6.295	32.167	0.1168	0.0159	0.4008	0.3902	0.8346	27.8253	0.6368	0.5825	0.0587	3.0420	2.9290	2.7833	0.1549	0.04943	0.03753	0.01480	0.02249	0.02186	0.00079	0.05192	0.03281	0.02051
21	3.175	0.492	5.635	8.092	1.444	3.205	0.831	15.278	1.317	0.799	5.008	0.366	16.306	0.091	5.105	0.390	13.301	41.421	0.1964	0.0150	0.2771	0.9477	1.4034	36.3157	0.7295	0.4438	0.3372	3.2242	3.1048	2.8086	0.3607	0.06988	0.03528	0.03945	0.00622	0.00500	0.00133	0.05348	0.01872	0.03631
